trade_id,order_id,execution_price,execution_quantity,trade_timestamp,user_id,asset_id,order_intent,quantity,order_price,status,created_at,security,ticker,asset_type,num_shares
56,61,159.0000,8.0000,2026-08-01 09:45:00,11,34,BUY,8.0000,158.8000,FILLED,2026-08-01 09:30:00,Johnson & Johnson,JNJ,equity,30.0000
57,62,2510.8000,10.0000,2026-08-01 14:15:00,12,37,BUY,10.0000,2510.2500,FILLED,2026-08-01 14:00:00,Ethereum,ETH,crypto,25.0000
58,63,620.7500,3.0000,2026-08-02 10:30:00,13,40,BUY,3.0000,620.5000,FILLED,2026-08-02 10:15:00,NVIDIA Corporation,NVDA,equity,10.0000
59,64,156.1500,5.0000,2026-08-02 13:45:00,14,43,BUY,5.0000,155.9000,FILLED,2026-08-02 13:30:00,Chevron Corporation,CVX,equity,18.0000
60,65,426.0000,20.0000,2026-08-03 10:15:00,15,46,BUY,20.0000,425.8000,FILLED,2026-08-03 10:00:00,Vanguard S&P 500 ETF,VOO,etf,100.0000
61,66,187.5000,4.0000,2026-08-03 16:00:00,1,1,BUY,4.0000,187.2000,FILLED,2026-08-03 15:45:00,Apple Inc.,AAPL,equity,25.0000
62,67,243.7500,1.5000,2026-08-04 10:45:00,2,5,BUY,3.0000,243.5000,PARTIALLY_FILLED,2026-08-04 10:30:00,Tesla Inc.,TSLA,equity,12.0000
63,68,60.0000,6.0000,2026-08-04 12:15:00,3,9,BUY,6.0000,59.8000,FILLED,2026-08-04 12:00:00,Coca-Cola Company,KO,equity,30.0000
64,69,44300.0000,0.7500,2026-08-05 10:00:00,4,13,BUY,0.7500,44200.0000,FILLED,2026-08-05 09:45:00,Bitcoin,BTC,crypto,2.5000
65,70,80.5000,18.0000,2026-08-05 14:35:00,5,17,BUY,18.0000,80.2500,FILLED,2026-08-05 14:20:00,Vanguard Total Bond Market ETF,BND,etf,150.0000
66,71,176.0000,1.0000,2026-08-06 10:15:00,6,20,SELL,1.0000,175.8000,FILLED,2026-08-06 10:00:00,Amazon.com Inc.,AMZN,equity,4.0000
67,72,428.0000,10.0000,2026-08-06 13:30:00,7,23,BUY,10.0000,427.5000,FILLED,2026-08-06 13:15:00,Vanguard S&P 500 ETF,VOO,etf,55.0000
68,73,372.8000,7.0000,2026-08-07 10:05:00,8,25,BUY,7.0000,372.3000,FILLED,2026-08-07 09:50:00,Microsoft Corporation,MSFT,equity,18.0000
